"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","864","should login successfully with valid credentials","firefox","Fri Jul 25 23:22:14 UTC 2025","passed","Fri Jul 25 23:22:15 UTC 2025","Login Tests","login.spec.ts","",""
"","1269","should fail to login with invalid credentials","webkit","Fri Jul 25 23:22:24 UTC 2025","passed","Fri Jul 25 23:22:25 UTC 2025","Login Tests","login.spec.ts","",""
"","1225","Visual snapshot of login page","webkit","Fri Jul 25 23:22:25 UTC 2025","passed","Fri Jul 25 23:22:27 UTC 2025","Login Tests","login.spec.ts","",""
"","884","should fail to login with invalid credentials","firefox","Fri Jul 25 23:22:15 UTC 2025","passed","Fri Jul 25 23:22:16 UTC 2025","Login Tests","login.spec.ts","",""
"","395","Visual snapshot of login page","chromium","Fri Jul 25 23:22:07 UTC 2025","passed","Fri Jul 25 23:22:07 UTC 2025","Login Tests","login.spec.ts","",""
"","938","Visual snapshot of login page","firefox","Fri Jul 25 23:22:16 UTC 2025","passed","Fri Jul 25 23:22:16 UTC 2025","Login Tests","login.spec.ts","",""
"","569","should login successfully with valid credentials","chromium","Fri Jul 25 23:22:06 UTC 2025","passed","Fri Jul 25 23:22:06 UTC 2025","Login Tests","login.spec.ts","",""
"","2306","Complete checkout flow","chromium","Fri Jul 25 23:22:03 UTC 2025","passed","Fri Jul 25 23:22:05 UTC 2025","","cart.spec.ts","",""
"","3444","Complete checkout flow","firefox","Fri Jul 25 23:22:08 UTC 2025","passed","Fri Jul 25 23:22:11 UTC 2025","","cart.spec.ts","",""
"","4609","Complete checkout flow","webkit","Fri Jul 25 23:22:17 UTC 2025","passed","Fri Jul 25 23:22:22 UTC 2025","","cart.spec.ts","",""
"","1577","should login successfully with valid credentials","webkit","Fri Jul 25 23:22:22 UTC 2025","passed","Fri Jul 25 23:22:24 UTC 2025","Login Tests","login.spec.ts","",""
"","655","should fail to login with invalid credentials","chromium","Fri Jul 25 23:22:06 UTC 2025","passed","Fri Jul 25 23:22:07 UTC 2025","Login Tests","login.spec.ts","",""
